                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.26988,                0.33046,                 0.2093,                0.80624,                0.99044,                0.99266,                0.99323,                0.98299,                0.99063,                0.99291,                0.99324,                0.93825,                0.20473,                0.31558,                0.16119,                0.78594,              0.0002972,              0.0002972,              0.0002972
                     88,                0.26185,                0.31824,                0.20581,                0.80367,                0.99169,                0.99095,                0.99318,                0.98234,                0.99097,                0.99276,                0.99328,                 0.9416,                0.20399,                0.31679,                0.15956,                0.78607,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.2678,                0.32421,                0.20901,                0.80725,                 0.9905,                0.99242,                0.99319,                0.98267,                 0.9905,                0.99242,                0.99325,                0.93674,                0.20337,                0.32169,                0.16005,                0.78582,              0.0002576,              0.0002576,              0.0002576
                     90,                0.26872,                0.32313,                0.20646,                 0.8077,                 0.9896,                0.98973,                0.99323,                0.98255,                0.98897,                0.99071,                0.99327,                0.94293,                0.20445,                0.32276,                0.16086,                0.78499,              0.0002378,              0.0002378,              0.0002378
                     91,                0.24085,                0.29032,                0.19019,                 0.7952,                0.99315,                0.98899,                 0.9933,                0.98074,                0.99306,                0.98899,                0.99331,                0.93018,                0.20677,                0.31589,                 0.1608,                0.78554,               0.000218,               0.000218,               0.000218
                     92,                0.23942,                0.28646,                0.18847,                0.79586,                0.99024,                0.99259,                0.99343,                0.98188,                0.99003,                0.99291,                0.99343,                 0.9304,                0.20599,                0.32191,                0.16157,                0.78611,              0.0001982,              0.0001982,              0.0001982
                     93,                0.23694,                0.28306,                0.18669,                0.79242,                0.99048,                0.99244,                0.99327,                0.98235,                0.99048,                0.99248,                0.99328,                0.94107,                0.20412,                0.31164,                0.15713,                0.78576,              0.0001784,              0.0001784,              0.0001784
                     94,                0.23592,                0.28418,                0.18479,                0.79137,                 0.9919,                0.98997,                 0.9932,                 0.9816,                 0.9919,                0.98997,                0.99322,                0.93601,                0.20504,                0.31715,                0.15685,                0.78577,              0.0001586,              0.0001586,              0.0001586
                     95,                0.23614,                 0.2833,                0.18515,                0.79201,                0.99091,                0.98851,                0.99334,                0.98182,                0.99091,                0.98851,                0.99336,                0.93185,                0.20184,                0.32441,                 0.1555,                0.78534,              0.0001388,              0.0001388,              0.0001388
                     96,                0.23399,                0.28394,                0.18389,                0.79118,                0.98741,                 0.9912,                0.99324,                0.98236,                0.98741,                 0.9912,                0.99327,                0.94024,                0.20065,                0.31512,                0.15422,                0.78536,               0.000119,               0.000119,               0.000119
                     97,                0.23273,                0.28156,                0.18134,                0.79188,                0.99021,                0.98918,                0.99325,                0.98368,                0.99021,                0.98918,                0.99326,                0.93807,                 0.2006,                0.32054,                0.15225,                0.78494,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.23206,                0.27975,                0.18112,                0.78964,                0.99154,                0.99144,                0.99342,                0.98345,                0.99154,                0.99144,                0.99336,                0.93859,                0.19968,                0.31919,                0.15062,                0.78442,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.23098,                0.27492,                0.17837,                0.79417,                0.99144,                0.99144,                0.99342,                0.98326,                0.99144,                0.99144,                0.99339,                0.93757,                 0.1984,                0.31936,                 0.1496,                0.78438,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.23025,                0.27875,                  0.179,                0.79046,                 0.9912,                0.99194,                0.99344,                 0.9836,                 0.9912,                0.99242,                0.99343,                 0.9371,                0.19835,                0.31859,                0.14974,                0.78393,               3.98e-05,               3.98e-05,               3.98e-05
