                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     64,                0.28866,                 0.3505,                0.22883,                0.80898,                0.99336,                0.98899,                0.99344,                0.97958,                0.99336,                0.98899,                0.99345,                0.93334,                0.21804,                0.31537,                0.17312,                0.78772,              0.0007724,              0.0007724,              0.0007724,             1.7124e+09,                   7177
                     65,                 0.2932,                0.34292,                0.23171,                0.81085,                0.99121,                0.99258,                0.99322,                0.97799,                0.99121,                0.99262,                0.99327,                0.92889,                0.21904,                0.32923,                0.17808,                0.78843,              0.0007526,              0.0007526,              0.0007526,             1.7124e+09,                   7289
                     66,                 0.2904,                0.34121,                0.23042,                0.81046,                0.99193,                0.99171,                0.99331,                0.98052,                0.99138,                0.99242,                0.99338,                0.93861,                0.21798,                0.32923,                0.17731,                0.78833,              0.0007328,              0.0007328,              0.0007328,             1.7124e+09,                   7404
                     67,                0.28558,                0.34837,                0.22773,                 0.8093,                0.99191,                0.99046,                0.99318,                0.98006,                0.99087,                0.99217,                0.99337,                0.94269,                0.21459,                0.31962,                0.17597,                0.78825,               0.000713,               0.000713,               0.000713,             1.7124e+09,                   7517
                     68,                0.28443,                0.33332,                0.22633,                0.80865,                0.98842,                0.99291,                0.99305,                0.97926,                0.98867,                0.99315,                0.99316,                0.93187,                0.21473,                0.31968,                0.17172,                0.78834,              0.0006932,              0.0006932,              0.0006932,             1.7124e+09,                   7628
                     69,                0.28402,                0.34663,                0.22664,                0.80922,                0.99144,                0.99093,                0.99332,                 0.9803,                0.99024,                0.99244,                0.99336,                0.93604,                0.21615,                0.32607,                0.17709,                0.78816,              0.0006734,              0.0006734,              0.0006734,             1.7124e+09,                   7742
                     70,                0.28461,                0.35473,                0.22541,                0.80858,                0.99059,                0.99071,                0.99324,                0.98117,                0.99108,                 0.9912,                0.99342,                0.93553,                0.21713,                 0.3356,                0.17601,                0.78864,              0.0006536,              0.0006536,              0.0006536,             1.7124e+09,                   7856
                     71,                0.28225,                0.33296,                0.22361,                0.80717,                0.99122,                0.99071,                0.99341,                0.98147,                0.99171,                 0.9912,                0.99356,                0.94396,                0.21706,                0.33797,                 0.1748,                0.78874,              0.0006338,              0.0006338,              0.0006338,             1.7124e+09,                   7967
                     72,                0.28543,                0.34001,                0.22434,                0.81025,                0.99132,                0.99095,                0.99319,                0.98029,                0.99177,                 0.9912,                0.99338,                0.93668,                0.21336,                0.32722,                0.17247,                0.78673,               0.000614,               0.000614,               0.000614,             1.7124e+09,                   8077
                     73,                0.28188,                0.33178,                 0.2228,                0.80948,                0.99247,                0.98899,                0.99339,                0.97896,                0.99272,                0.98924,                 0.9934,                0.92796,                0.21503,                0.31828,                0.17459,                0.78815,              0.0005942,              0.0005942,              0.0005942,             1.7124e+09,                   8188
                     74,                0.28006,                 0.3326,                0.22001,                0.80784,                0.99143,                0.99042,                0.99313,                0.98095,                0.99144,                0.99086,                0.99317,                0.93494,                0.21145,                0.32987,                0.16973,                0.78601,              0.0005744,              0.0005744,              0.0005744,             1.7124e+09,                   8300
                     75,                0.28004,                0.34089,                0.22214,                0.80879,                0.99028,                0.99217,                0.99323,                 0.9811,                0.99047,                0.99266,                0.99324,                0.93664,                0.21071,                0.31463,                0.16942,                0.78715,              0.0005546,              0.0005546,              0.0005546,             1.7124e+09,                   8413
                     76,                0.27834,                0.33336,                0.21964,                0.80808,                 0.9912,                0.99193,                0.99315,                0.98089,                 0.9912,                0.99242,                0.99326,                0.93822,                0.20993,                0.31938,                0.16908,                0.78719,              0.0005348,              0.0005348,              0.0005348,             1.7124e+09,                   8525
                     77,                0.27463,                0.33956,                0.21603,                0.80772,                0.99253,                0.98899,                0.99304,                 0.9806,                0.99253,                0.98899,                0.99315,                0.94219,                0.21319,                 0.3207,                0.17135,                0.78583,               0.000515,               0.000515,               0.000515,             1.7124e+09,                   8635
                     78,                0.27764,                0.32994,                0.22062,                0.80822,                0.98899,                0.99193,                0.99305,                0.98026,                0.98927,                0.99214,                0.99307,                0.93978,                0.21092,                0.32507,                0.17201,                0.78627,              0.0004952,              0.0004952,              0.0004952,             1.7124e+09,                   8747
                     79,                0.27753,                0.33351,                0.22019,                0.80844,                0.99239,                0.98948,                0.99317,                0.98198,                0.99263,                0.98973,                0.99319,                0.94491,                0.21452,                0.32406,                0.17112,                0.78592,              0.0004754,              0.0004754,              0.0004754,             1.7124e+09,                   8858
